"t / s";"CH1 / V";"CH2 / V";"MATH / V";"f / Hz";"SP1 / dB";"SP2 / dB";"SPM / dB"
0,000314;1,4;0;1,4;15.700;-60;-60;-60
0,000315;1,4;0;1,4;15.750;-60;-60;-60
0,000316;1,4;0;1,4;15.800;-60;-60;-60
0,000317;1,4;0;1,4;15.850;-60;-60;-60
0,000318;1,4;0;1,4;15.900;-60;-60;-60
0,000319;1,4;0;1,4;15.950;-32,8499;-60;-32,8506
0,00032;1,4;0;1,4;16.000;-24,9188;-60;-24,9187
0,000321;1,388;0;1,388;16.050;-31,8225;-60;-31,8219
0,000322;1,36;0;1,36;16.100;-60;-60;-60
0,000323;1,36;0;1,36;16.150;-60;-60;-60
0,000324;1,36;0;1,36;16.200;-60;-60;-60
0,000325;1,36;0;1,36;16.250;-60;-60;-60
0,000326;1,36;0;1,36;16.300;-60;-60;-60
0,000327;1,36;0;1,36;16.350;-60;-60;-60
0,000328;1,36;0;1,36;16.400;-60;-60;-60
0,000329;1,36;0;1,36;16.450;-60;-39,2416;-39,2445
0,00033;1,36;0;1,36;16.500;-60;-31,2937;-31,2931
0,000331;1,344;0;1,344;16.550;-60;-38,182;-38,1793
0,000332;1,32;0;1,32;16.600;-60;-60;-60
0,000333;1,32;0;1,32;16.650;-60;-60;-60
0,000334;1,32;0;1,32;16.700;-60;-60;-60
0,000335;1,32;0;1,32;16.750;-60;-60;-60
0,000336;1,32;0;1,32;16.800;-60;-60;-60
0,000337;1,32;0;1,32;16.850;-60;-60;-60
0,000338;1,32;0;1,32;16.900;-60;-60;-60
0,000339;1,32;0;1,32;16.950;-33,411;-60;-33,4117
0,00034;1,32;0;1,32;17.000;-25,4466;-60;-25,4465
0,000341;1,3;0;1,3;17.050;-32,3193;-60;-32,3185
0,000342;1,28;0;1,28;17.100;-60;-60;-60
0,000343;1,28;0;1,28;17.150;-60;-60;-60
0,000344;1,28;0;1,28;17.200;-60;-60;-60
0,000345;1,28;0;1,28;17.250;-60;-60;-60
0,000346;1,28;0;1,28;17.300;-60;-60;-60
0,000347;1,28;0;1,28;17.350;-60;-60;-60
0,000348;1,28;0;1,28;17.400;-60;-60;-60
0,000349;1,28;0;1,28;17.450;-60;-39,7869;-39,7894
0,00035;1,28;0;1,28;17.500;-60;-31,8062;-31,8058
0,000351;1,256;0;1,256;17.550;-60;-38,663;-38,6596
0,000352;1,24;0;1,24;17.600;-60;-60;-60
0,000353;1,24;0;1,24;17.650;-60;-60;-60
0,000354;1,24;0;1,24;17.700;-60;-60;-60
0,000355;1,24;0;1,24;17.750;-60;-60;-60
0,000356;1,24;0;1,24;17.800;-60;-60;-60
0,000357;1,24;0;1,24;17.850;-60;-60;-60
0,000358;1,24;0;1,24;17.900;-60;-60;-60
0,000359;1,24;0;1,24;17.950;-33,942;-60;-33,9428
0,00036;1,24;0;1,24;18.000;-25,9445;-60;-25,9443
0,000361;1,212;0;1,212;18.050;-32,7859;-60;-32,7852
0,000362;1,2;0;1,2;18.100;-60;-60;-60
0,000363;1,2;0;1,2;18.150;-60;-60;-60
0,000364;1,2;0;1,2;18.200;-60;-60;-60
0,000365;1,2;0;1,2;18.250;-60;-60;-60
0,000366;1,2;0;1,2;18.300;-60;-60;-60
0,000367;1,2;0;1,2;18.350;-60;-60;-60
0,000368;1,2;0;1,2;18.400;-60;-60;-60
0,000369;1,2;0;1,2;18.450;-60;-40,3039;-40,3063
0,00037;1,2;0;1,2;18.500;-60;-32,2904;-32,29
0,000371;1,168;0;1,168;18.550;-60;-39,1157;-39,1119
0,000372;1,16;0;1,16;18.600;-60;-60;-60
0,000373;1,16;0;1,16;18.650;-60;-60;-60
0,000374;1,16;0;1,16;18.700;-60;-60;-60
0,000375;1,16;0;1,16;18.750;-60;-60;-60
0,000376;1,16;0;1,16;18.800;-60;-60;-60
0,000377;1,16;0;1,16;18.850;-60;-60;-60
